ClientNum,billable,nonbillable,total,billable_ratio
CLT3670,1303.6999999999998,932217.3100000005,933521.0100000005,0.14
CLT2932,95.25,0.0,95.25,100.0
CLT1615,1295.51,0.0,1295.51,100.0
CLT3236,925.1000000000005,8.0,933.1000000000005,99.14
CLT2220,255.24999999999997,0.0,255.24999999999997,100.0
CLT3616,272.2000000000001,0.0,272.2000000000001,100.0
CLT3243,54.20000000000002,0.0,54.20000000000002,100.0
CLT3911,113.07999999999998,0.0,113.07999999999998,100.0
CLT3983,115.5,0.0,115.5,100.0
CLT1043,8295.499999999998,0.0,8295.499999999998,100.0
CLT1525,1392.8,0.0,1392.8,100.0
CLT3962,2087.15,0.0,2087.15,100.0
CLT2419,826.0,0.0,826.0,100.0
CLT1324,4552.720000000001,0.0,4552.720000000001,100.0
CLT1517,17.4,0.0,17.4,100.0
CLT2065,198.20000000000002,0.0,198.20000000000002,100.0
CLT3321,2.5,0.0,2.5,100.0
CLT1090,49.940000000000005,0.0,49.940000000000005,100.0
CLT2650,2187.0,36.5,2223.5,98.36
CLT1770,475.4800000000001,0.0,475.4800000000001,100.0
CLT3936,139.75,0.0,139.75,100.0
CLT4045,46.64999999999999,0.0,46.64999999999999,100.0
CLT1531,1173.6899999999994,0.0,1173.6899999999994,100.0
CLT1456,85.29999999999998,0.0,85.29999999999998,100.0
CLT2941,2658.95,0.0,2658.95,100.0
CLT1091,111.25,0.0,111.25,100.0
CLT2110,51.2,0.0,51.2,100.0
CLT1272,169.42999999999998,0.0,169.42999999999998,100.0
CLT2548,239.46999999999989,0.0,239.46999999999989,100.0
CLT2528,50.97,0.0,50.97,100.0
CLT1624,24700.75,0.0,24700.75,100.0
CLT1524,1513.9499999999994,5.25,1519.1999999999994,99.65
CLT3094,493.6,0.0,493.6,100.0
CLT1968,11963.5,0.0,11963.5,100.0
CLT3701,1258.7399999999993,0.0,1258.7399999999993,100.0
CLT1644,406.3600000000001,0.0,406.3600000000001,100.0
CLT1327,291.43,0.0,291.43,100.0
CLT3803,113.75,0.0,113.75,100.0
CLT1489,196.5,0.0,196.5,100.0
CLT3626,53.89999999999999,0.0,53.89999999999999,100.0
CLT2729,9634.129999999997,0.0,9634.129999999997,100.0
CLT3491,2150.65,0.0,2150.65,100.0
CLT1916,14.65,0.0,14.65,100.0
CLT3950,60.4,0.0,60.4,100.0
CLT2194,32.1,0.0,32.1,100.0
CLT3161,29.949999999999996,0.0,29.949999999999996,100.0
CLT3635,1187.1999999999998,0.0,1187.1999999999998,100.0
CLT1987,1865.4799999999989,0.0,1865.4799999999989,100.0
CLT4032,127.8,0.0,127.8,100.0
CLT2831,24.0,0.0,24.0,100.0
CLT1844,1726.8000000000002,0.0,1726.8000000000002,100.0
CLT1314,64.5,0.0,64.5,100.0
CLT1184,1065.25,0.0,1065.25,100.0
CLT3016,1482.4300000000003,0.0,1482.4300000000003,100.0
