ClientNum,Profit
CLT1000,6728.63
CLT1001,6817.12
CLT1002,19634.8
CLT1003,5710.54
CLT1004,20823.96
CLT1005,107626.75
CLT1006,7051.07
CLT1007,361852.83
CLT1008,4809.1
CLT1009,9758.42
CLT1010,3432.28
CLT1011,7314.48
CLT1012,82024.92
CLT1013,64079.17
CLT1014,343.2
CLT1015,1268.22
CLT1016,11965.1
CLT1017,304.32
CLT1018,7291.93
CLT1019,2393.02
CLT1020,16646.28
CLT1021,57486.22
CLT1022,9124.34
CLT1023,221497.94
CLT1024,1095.57
CLT1025,4651.17
CLT1026,3651.07
CLT1027,120383.56
CLT1028,1337.41
CLT1029,51915.97
CLT1030,1165.81
CLT1031,5773.27
CLT1032,12257.86
CLT1033,340975.66
CLT1034,181335.11
CLT1035,76693.56
CLT1036,26903.77
CLT1037,10621.79
CLT1038,17396.31
CLT1039,7889.6
CLT1040,3394.99
CLT1041,171245.58
CLT1042,4000.42
CLT1043,1145752.07
CLT1044,5304.84
CLT1045,11434.48
CLT1046,2301.86
CLT1047,173910.81
CLT1048,37652.61
CLT1049,182966.3
CLT1050,13147.76
CLT1051,1036.83
CLT1052,8771.19
CLT1053,18334.6
CLT1054,8644.68
CLT1055,35767.39
CLT1056,60447.92
CLT1057,16661.3
CLT1058,11462.39
CLT1059,17496.02
CLT1060,3430.95
CLT1061,2738.58
CLT1062,115669.45
CLT1063,59474.74
CLT1064,132.72
CLT1065,2051.16
CLT1066,0.0
CLT1067,9478.24
CLT1068,161122.89
CLT1069,11209.53
CLT1070,7628.17
CLT1071,184008.02
CLT1072,456.35
CLT1073,7320.9
CLT1074,4154.6
CLT1075,261325.03
CLT1076,4808.16
CLT1077,16247.4
CLT1078,8708.7
CLT1079,5519.4
CLT1080,6259.58
CLT1081,1114.06
CLT1082,753.44
CLT1083,104339.92
CLT1084,123271.5
CLT1085,431936.25
CLT1086,3170.58
CLT1087,54093.53
CLT1088,1466.38
CLT1089,73367.12
CLT1090,11386.27
CLT1091,20578.62
CLT1092,2969.21
CLT1093,2264.32
CLT1094,30806.52
CLT1095,47438.21
CLT1096,7777.52
CLT1097,74700.34
CLT1098,326189.5
CLT1099,1544.41
CLT1100,31837.31
CLT1101,53746.86
CLT1102,107837.2
CLT1103,427.66
CLT1104,2885.31
CLT1105,7137.51
CLT1106,14528.32
CLT1107,21483.61
CLT1108,36771.02
CLT1109,10766.02
CLT1110,18807.89
CLT1111,4366.66
CLT1112,13474.16
CLT1113,70484.93
CLT1114,22385.57
CLT1115,2793.87
CLT1116,40676.07
CLT1117,1340.63
CLT1118,3195.23
CLT1119,13100.3
CLT1120,5893.12
CLT1121,21497.83
CLT1122,15265.3
CLT1123,43924.09
CLT1124,44382.5
CLT1125,16671.25
CLT1126,10585.37
CLT1127,114932.09
CLT1128,21518.98
CLT1129,14633.35
CLT1130,88499.72
CLT1131,10765.24
CLT1132,6682.48
CLT1133,16598.18
CLT1134,12528.42
CLT1135,8595.31
CLT1136,155578.45
CLT1137,191833.13
CLT1138,949.16
CLT1139,118206.98
CLT1140,8814.64
CLT1141,2064.58
CLT1142,52875.38
CLT1143,3512.43
CLT1144,103825.1
CLT1145,143991.43
CLT1146,26380.57
CLT1147,4885.23
CLT1148,8135.2
CLT1149,31780.99
CLT1150,697.13
CLT1151,380.74
CLT1152,4577.7
CLT1153,11895.41
CLT1154,70221.14
CLT1155,316.39
CLT1156,2467.28
CLT1157,106452.83
CLT1158,9554.38
CLT1159,27238.47
CLT1160,4003.1
CLT1161,13977.91
CLT1162,1034.96
CLT1163,16836.96
CLT1164,131725.21
CLT1165,7339.94
CLT1166,3566.87
CLT1167,99388.73
CLT1168,19122.72
CLT1169,15102.27
CLT1170,26464.3
CLT1171,13135.52
CLT1172,30028.47
CLT1173,18798.08
CLT1174,281591.81
CLT1175,9025.12
CLT1176,18035.3
CLT1177,3134.66
CLT1178,2363.8
CLT1179,6584.86
CLT1180,4860.0
CLT1181,3850.16
CLT1182,9662.45
CLT1183,4451.97
CLT1184,114979.66
CLT1185,182968.72
CLT1186,1453.25
CLT1187,177069.23
CLT1188,13526.93
CLT1189,12258.67
CLT1190,2212.04
CLT1191,11510.61
CLT1192,16192.12
CLT1193,8060.91
CLT1194,50430.18
CLT1195,7859.57
CLT1196,158.2
CLT1197,6587.59
CLT1198,11088.85
CLT1199,1746.56
CLT1200,8022.59
CLT1201,45590.75
CLT1202,174886.48
CLT1203,208.07
CLT1204,8111.57
CLT1205,1671.51
CLT1206,9002.33
CLT1207,39140.74
CLT1208,297716.05
CLT1209,21172.58
CLT1210,4708.27
CLT1211,225034.61
CLT1212,10436.25
CLT1213,16492.21
CLT1214,6228.56
CLT1215,19496.77
CLT1216,18942.56
CLT1217,253.38
CLT1218,8169.79
CLT1219,2213.1
CLT1220,20749.16
CLT1221,12658.23
CLT1222,47282.64
CLT1223,65398.6
CLT1224,3166.58
CLT1225,12465.14
CLT1226,7051.99
CLT1227,13532.29
CLT1228,7308.58
CLT1229,32754.25
CLT1230,91.16
CLT1231,2823.38
CLT1232,1599.3
CLT1233,3787.01
CLT1234,120519.72
CLT1235,2388.98
CLT1236,458.77
CLT1237,16664.55
CLT1238,30624.24
CLT1239,4115.71
CLT1240,21192.69
CLT1241,12202.96
CLT1242,8491.26
CLT1243,22873.79
CLT1244,6704.45
CLT1245,1796.43
CLT1246,3789.43
CLT1247,3466.32
CLT1248,120053.21
CLT1249,53428.35
CLT1250,392.8
CLT1251,236722.34
CLT1252,198732.91
CLT1253,61674.82
CLT1254,105550.73
CLT1255,81.78
CLT1256,26200.52
CLT1257,14394.34
CLT1258,55866.78
CLT1259,348504.07
CLT1260,19478.23
CLT1261,2394.36
CLT1262,134313.7
CLT1263,12781.0
CLT1264,49528.38
CLT1265,265.44
CLT1266,10160.1
CLT1267,3560.97
CLT1268,203394.32
CLT1269,5839.75
CLT1270,17413.5
CLT1271,9064.51
CLT1272,50482.39
CLT1273,5527.94
CLT1274,331.14
CLT1275,3238.95
CLT1276,6719.49
CLT1277,4288.4
CLT1278,97122.49
CLT1279,19774.59
CLT1280,9517.64
CLT1281,2198.09
CLT1282,6802.36
CLT1283,74545.32
CLT1284,1540.92
CLT1285,33637.59
CLT1286,45007.63
CLT1287,17603.78
CLT1288,7582.41
CLT1289,2207.2
CLT1290,10649.38
CLT1291,480203.72
CLT1292,20658.86
CLT1293,0.0
CLT1294,1762.67
CLT1295,3381.04
CLT1296,6902.63
CLT1297,186454.46
CLT1298,57916.39
CLT1299,7656.57
CLT1300,91.16
CLT1301,183498.95
CLT1302,10690.11
CLT1303,16990.31
CLT1304,12341.55
CLT1305,2964.68
CLT1306,6134.15
CLT1307,172954.32
CLT1308,442833.58
CLT1309,16427.48
CLT1310,557.7
CLT1311,0.0
CLT1312,0.0
CLT1313,5675.13
CLT1314,7705.88
CLT1315,68062.23
CLT1316,70424.54
CLT1317,2214.72
CLT1318,19610.66
CLT1319,28576.26
CLT1320,34539.96
CLT1321,220495.88
CLT1322,14812.85
CLT1323,136350.74
CLT1324,714512.14
CLT1325,30672.55
CLT1326,2905.14
CLT1327,45700.46
CLT1328,945.95
CLT1329,5745.94
CLT1330,7999.54
